Country,Subject Descriptor,Units,Scale,2013,2014,2015,2016,2017,2018,2019,2020
Senegal,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,32.13 ,34.20 ,36.30 ,38.91 ,42.18 ,46.06 ,50.49 ,55.33 
Serbia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,96.03 ,95.84 ,97.27 ,99.90 ,103.67 ,109.51 ,115.80 ,123.03 
Seychelles,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2.31 ,2.42 ,2.53 ,2.66 ,2.80 ,2.96 ,3.13 ,3.30 
Sierra Leone,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,11.76 ,12.80 ,9.83 ,9.88 ,11.90 ,14.30 ,15.56 ,17.00 
Singapore,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,434.33 ,454.35 ,468.91 ,488.35 ,512.84 ,539.92 ,569.52 ,600.69 
Slovakia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,147.17 ,153.20 ,159.59 ,167.35 ,176.31 ,185.80 ,195.81 ,206.33 
Slovenia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,58.77 ,61.56 ,63.60 ,65.52 ,67.97 ,70.75 ,73.74 ,76.82 
Solomon Islands,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.06 ,1.09 ,1.14 ,1.19 ,1.25 ,1.33 ,1.40 ,1.48 
South Africa,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,685.22 ,707.10 ,724.01 ,742.46 ,771.37 ,806.94 ,845.86 ,886.57 
South Sudan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,22.46 ,23.50 ,22.46 ,22.88 ,25.32 ,27.30 ,30.88 ,33.87 
Spain,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1525.51 ,1572.11 ,1636.28 ,1697.82 ,1765.87 ,1838.33 ,1914.05 ,1990.12 
Sri Lanka,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,199.92 ,218.24 ,234.71 ,252.94 ,274.07 ,297.88 ,324.14 ,352.65 
St. Kitts and Nevis,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.19 ,1.28 ,1.36 ,1.42 ,1.48 ,1.55 ,1.63 ,1.70 
St. Lucia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.94 ,1.98 ,2.03 ,2.09 ,2.16 ,2.25 ,2.35 ,2.46 
St. Vincent and the Grenadines,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.16 ,1.17 ,1.21 ,1.26 ,1.31 ,1.38 ,1.45 ,1.53 
Sudan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,152.17 ,160.19 ,167.42 ,176.23 ,187.29 ,200.67 ,216.52 ,233.94 
Suriname,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,8.68 ,8.99 ,9.21 ,9.37 ,10.08 ,10.80 ,11.48 ,12.08 
Swaziland,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,10.14 ,10.56 ,10.87 ,11.08 ,11.38 ,11.77 ,12.20 ,12.63 
Sweden,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,433.36 ,450.52 ,467.45 ,486.96 ,509.05 ,532.26 ,556.11 ,580.26 
Switzerland,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,457.14 ,473.33 ,482.73 ,494.81 ,510.99 ,531.39 ,553.26 ,575.92 
Syrian Arab Republic,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
"Taiwan, Province of China",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1022.79 ,1078.79 ,1113.79 ,1156.44 ,1210.39 ,1273.09 ,1340.96 ,1413.20 
Tajikistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,20.66 ,22.40 ,23.30 ,24.38 ,25.82 ,27.67 ,29.68 ,31.84 
"Tanzania, United Republic of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,117.88 ,128.16 ,138.30 ,149.79 ,163.03 ,177.83 ,194.20 ,212.12 
Thailand,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1043.25 ,1069.57 ,1107.00 ,1156.08 ,1218.23 ,1285.56 ,1357.10 ,1430.41 
Timor-Leste,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,7.64 ,6.75 ,7.48 ,7.36 ,6.72 ,6.44 ,5.24 ,4.38 
Togo,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,9.52 ,10.16 ,10.82 ,11.56 ,12.42 ,13.38 ,14.43 ,15.55 
Tonga,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.48 ,0.50 ,0.52 ,0.54 ,0.56 ,0.59 ,0.61 ,0.63 
Trinidad and Tobago,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,42.41 ,43.46 ,44.33 ,45.47 ,46.96 ,48.68 ,50.56 ,52.56 
Tunisia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,119.95 ,124.73 ,127.21 ,132.59 ,140.29 ,149.76 ,160.67 ,171.84 
Turkey,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1448.17 ,1514.86 ,1576.29 ,1641.00 ,1731.26 ,1828.39 ,1933.22 ,2043.72 
Turkmenistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,73.48 ,82.40 ,90.29 ,99.47 ,110.52 ,122.53 ,135.75 ,150.03 
Tuvalu,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.03 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.05 
Uganda,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,70.50 ,75.08 ,79.75 ,85.10 ,91.62 ,99.18 ,107.63 ,117.04 
Ukraine,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,392.62 ,371.81 ,341.49 ,352.34 ,371.01 ,393.64 ,418.23 ,444.52 
United Arab Emirates,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,580.63 ,617.14 ,641.88 ,669.86 ,703.74 ,743.01 ,786.80 ,834.45 
United Kingdom,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2454.23 ,2569.22 ,2659.73 ,2751.48 ,2861.41 ,2985.59 ,3116.06 ,3250.59 
United States,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,16663.15 ,17348.08 ,17968.20 ,18697.92 ,19555.87 ,20493.25 ,21404.19 ,22294.11 
Uruguay,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,68.13 ,71.68 ,74.19 ,76.72 ,80.25 ,84.35 ,88.86 ,93.60 
Uzbekistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,156.81 ,172.30 ,185.82 ,201.19 ,218.41 ,237.39 ,258.31 ,281.03 
Vanuatu,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,0.66 ,0.68 ,0.68 ,0.72 ,0.76 ,0.81 ,0.85 ,0.89 
"Venezuela, Bolivarian Republic of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,554.33 ,540.90 ,491.59 ,467.58 ,454.32 ,449.75 ,454.93 ,464.74 
Republic of Vietnam,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,475.82 ,512.58 ,551.26 ,593.51 ,640.08 ,692.43 ,749.92 ,812.06 
Yemen,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,102.52 ,104.01 ,75.52 ,85.28 ,93.99 ,101.84 ,108.90 ,116.44 
Zambia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,57.18 ,61.39 ,64.65 ,68.00 ,73.19 ,79.80 ,87.12 ,95.07 
Zimbabwe,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,25.97 ,27.26 ,27.92 ,28.92 ,30.30 ,31.95 ,33.74 ,35.64 
